# Fuente: Wikcionario (es.wiktionary.org), CC BY-SA 4.0, vía kaikki.org/Wiktextract
abacómite	m.	Abad con título de conde.
abad	m. y f.	Persona que ostenta el cargo de superior en abadías, colegiatas o monasterios, de congregaciones religiosas masculinas.
abada	f.	En particular, abada₁ hembra.
abadabina	f.	Nombre dado por Albino al tarín o tarino.
abadengo	adj.	Propio de, relativo a o perteneciente a un abad o abadesa.
abaderna	f.	Cabo corto y trenzado.
abadernado	adj.	Que concierne o tiene relación con la abaderna.
abadernamiento	m.	Acción y efecto de abadernar.
abadernar	tr.	Sujetar con badernas.
abadiado	m.	Condición o carácter de abad o abadesa.
abadiato	m.	Condición o carácter de abad o abadesa.
abadía	f.	Condición o carácter de abad o abadesa.
abajadero	m.	Terreno que tiene una inclinación o pendiente.
abajado	adj.	Reducido a menos.
abajador	m.	Mozo que cuida de relevar las caballerías en las tahonas, molinos o desagües.
abajamiento	m.	Acción o efecto de abajar.
abajar	intr.	Marchar, real o figuradamente, desde una posición más elevada a una que lo es menos.
abajera	f.	Manta que se coloca a las bestias de carga.
abajero	adj.	Que está abajo.
abajeño	adj.	Nativo o residente de las tierras bajas (como las costas y riveras).
abajino	adj.	Que proviene de la zona norte.
abajo	adv.	Hacia un lugar o parte inferior, o en un lugar o parte inferior.
abakuá	m. y f.	Miembro de la sociedad secreta Abakuá, de origen africano de exclusiva integración masculina.
abal	m.	Fruta de un árbol (Spondias purpurea) en la India parecido al ciprés que usan los naturales del país como ecbólico y como un emenagogo muy activo.
abalada	f.	Harina que se derrama fuera de la artesa.
abalado	adj.	De consistencia fofa o esponjosa.
abalanzadizo	adj.	Propenso a abalanzarse.
abalanzamiento	m.	Movimiento súbito e impetuoso.
abalanzar	tr.	Dar impulso hacia adelante, inclinar hacia el frente.
abalanzarse	prnl.	Arrojarse, lanzarse, precipitarse, mover todo el cuerpo con gran energía y velocidad contra algo o alguien.
abalar	tr.	Arrojar, lanzar.
abalaustrado	adj.	Dotado de balaustradas.
abalconado	adj.	Que se halla provisto de balcón o balcones.
abaldonadamente	adv.	De manera osada.
abaldonamiento	m.	Acción y efecto de hacer algo arriesgado, grosero o irrespetuoso.
abalea	f.	(Cichorium intybus) Achicoria.
abaleable	adj.	Que se puede abalear.
abaleador	m. y f.	Persona que abalea.
abaleadura	f.	Acción o efecto de abalear.
abalear	tr.	Retirar las granzas (paja gruesa), mediante pasadas de escoba, mientras se avienta la parva (la cosecha de trigo, cebada, etc) en el proceso de separar el grano.
abaleo	m.	Acción y efecto de abalear.
abalienación	f.	Desarreglo o deterioro mental.
abalizamiento	m.	Acción o efecto de abalizar.
abalizar	tr.	Señalar con balizas o señales flotantes en el agua.
aballar	tr.	Bajar, rebajar.
aballestar	tr.	Atirantar lo más posible un cabo que ya está tenso estirándolo por el centro y recogiendo bien lo sobrante.
abalorio	m.	Cuenta de vidrio, madera, piedra, u otro material que se utiliza para fabricar adornos, collares, labores, etc. Normalmente tiene forma de esfera y está perforada y facetada, para que refleje por la luz por varios puntos.
abaluartar	tr.	Fortificar con bastiones.
abama	f.	Género de plantas de la familia de las Liliáceas.
abameo	adj.	Que se parece a una abama.
abanación	f.	Destierro de un año al que eran condenados los que habían cometido algún homicidio involuntario, mediando circunstancias que eximían al reo de una pena mayor.
abanador	m.	Ruedo pequeño con el que se aviva la lumbre.
abanar	tr.	Mover o agitar en vaivén un objeto. Cribar y abanicar.
abancalar	tr.	Formar bancales, disponer en bancales.
abancayno	adj.	Originario, relativo a, o propio de Abancay, capital del departamento de Apurímac.
abancaíno	adj.	Originario, relativo a, o propio de Abancay, capital del departamento de Apurímac.
abandalizar	tr.	Dividir o promover la división de una comunidad en bandos.
abanderado	adj.	Ornado con banderas.
abanderamiento	m.	Acción y efecto de abanderar o abanderarse.
abanderar	tr.	Matricular o registrar bajo la bandera de un estado a un buque de nacionalidad extranjera. Proveer a un buque de los documentos que acreditan su bandera.
abanderizador	adj.	Que abanderiza.
abanderizar	tr.	Dividir o promover la división de una comunidad en bandos.
abanderizarse	prnl.	Formar un bando o partido con otras personas.
abandonado	adj.	Se dice de algo que se encuentra descuidado o desatendido.
abandonar	tr.	Dejar, desamparar a una persona, animal o cosa. No hacer caso de ella.
abandonarse	prnl.	Dejarse dominar por afectos, pasiones o vicios.
abandonatario	m. y f.	El que se encarga de la cosa abandonada.
abandonismo	m.	Tendencia a abandonar sin lucha algo a que tenemos derecho o a algo que nos corresponde.
abandonista	adj.	Que defiende la renuncia sin resistencia a algo que le corresponde o es de su propiedad.
abandono	m.	Acción y resultado de abandonar o de abandonarse.
abandónico	adj.	Se dice del sujeto que padece los síntomas provocados por el abandono, generalmente durante la infancia.
abanear	intr.	Balancearse o mecerse, moverse en vaivén.
abanec	m.	Entre los hebreos era un cíngulo con que se adornaba el sumo sacerdote.
abangar	tr.	Torcer o encorvar la madera.^([cita requerida])
abanicador	m.	Ladrón que se especializa en abrir cerraduras, ventanas y cajas fuertes.
abanicamiento	m.	El acto y efecto de abanicar y abanicarse.
abanicar	tr.	Dar aire con el abanico moviéndolo de uno a otro lado.
abanicarse	prnl.	Darse aire con el abanico moviéndolo de uno a otro lado.
abanicazo	m.	Golpe que se da con un abanico.
abanico	m.	Instrumento, a modo de una lámina de material ligero, usada para mover el aire.
abanillero	adj.	De Abanilla, municipio de Murcia.
abanillo	m.	Adorno ahuecado que se formaban, antiguamente, en algunos cuellos alechugados.
abanino	m.	Porción de gasa u otra tela blanca con que ciertas damas de la corte guarnecían en ondas el escote del jubón.
abaniquear	tr.	Hacer aire con el abanico.
abaniqueo	m.	Acción de abanicar o abanicarse mucho o muy deprisa.
abaniquero	m. y f.	Persona que fabrica abanicos.
abaniquería	f.	Fábrica de abanicos.
abano	m.	Aparato en forma de abanico, que colgado del techo, sirve para mover el aire.
abanquino	adj.	Originario, relativo a, o propio de Abancay, capital del departamento de Apurímac en Perú.
abantar	intr.	Derramarse un líquido al hervir.
abante	m.	Miembro del antiguo y belicoso pueblo helénico que habitaba en partes de Fócida y que luego migró a la isla de Eubea y a otras partes.
abanto	m.	(Neophron percnopterus) Ave rapaz parecida al buitre pero de menor tamaño, de color blanco sucio, con las remeras negras y la cola en forma de cuña. Se alimenta de animales en estado de descomposición, vive en África septentrional y pasa el verano en Europa.
abanzamiento	m.	La distancia horizontal entre el nacimiento o extremo inferior de un arco y la vertical bajada desde su extremo superior.
abaptista	m.	Nombre dado por Galeno a una especie de trépano cuya corola tenía la figura de un cono truncado.
abaptisto	adj.	Que no se hunde en el agua.
abarajar	tr.	Recoger o recibir en el aire una cosa, parar un golpe en el aire.
abaratamiento	m.	Acción o efecto de abaratar.
abaratar	tr.	Se dice de producto o servicio el cual baja su valor de mercado.
abarañar	tr.	Recoger y colocar ordenadamente el heno una vez que se ha cortado; a este heno se le llama baraño.
abarbar	tr.	Criar las abejas.
abarbechar	tr.	Arar o labrar las hazas disponiéndolas para la siembra.
abarbetar	tr.	Amarrar o sujetar cualquier objeto con una piola llamada barbeta.
abarca	f.	Calzado rústico hecho de cuero de res vacuna, caballo, etcétera que cubre la planta, los dedos o la mayor parte del pie y se ata con cuerdas o correas sobre el empeine y el tobillo.
abarcable	adj.	Que se puede abarcar.
abarcado	adj.	Calzado con abarcas o sandalias.
abarcadura	f.	Acción o efecto de abarcar.
abarcamiento	m.	Acción o efecto de abarcar.
abarcar	tr.	Ceñir con los brazos o con la mano alguna cosa.
abarcuzar	tr.	Abarcar, hacerse cargo de muchas cosas.
abarcón	m.	Aro de hierro que servía para afianzar la lanza (vara con que se da la dirección) de los coches antiguos dentro de la punta de la tijera (cada uno de los correones, soperas o correas anchas sobre las que se apoyaba la caja o cajón del coche).
abardilla	f.	Vallado de tierra, cubierto de espinas para defensa de los sembrados.
abarem	m.	Especie de bollo de mijo o arroz cocido que se come en la parte norte del Brasil.
abareque	m.	Red para pescar sardinas.
abaritonado	adj.	Se dice de la voz parecida a la del barítono y de los instrumentos con sonido de su timbre semejante.
abarloar	tr.	Maniobrar un buque o nave para atracarlo al costado de otro buque, que está a su vez atracado a un muelle o en navegación.
abarloarse	prnl.	Ponerse paralelo a otro barco o lugar, casi en contacto con él.
abarnahas	m.	Nombre que los alquimistas daban a la magnesia.
abarquero	adj.	Persona que hace abarcas o que las vende.
abarquillado	adj.	Similar en figura o sustancia a un barquillo.
abarquillamiento	m.	Acción o efecto de abarquillar o de abarquillarse.
abarquillar	tr.	Encorvar un cuerpo delgado y ancho, como pasta de barquillos, de hostias o de obleas, hoja de papel, lámina metálica, chapa de madera, etcétera, sin que llegue a formar rollo.
abarracar	tr.	Instalarse en cabañas y barracas.
abarracarse	prnl.	Ponerse a cubierto en barracas.
abarrado	adj.	Se dice de una tela, paño o tejido que tiene una lista, tira o barra que no tiene tanta calidad como el resto de la pieza.
abarraganamiento	m.	Acción y efecto de abarraganarse.
abarraganarse	prnl.	Amancebarse.
abarrajado	adj.	Vicioso, de vida airada, libertino, pendenciero.
abarrajar	intr.	En España es abarrar o atropellar.
abarrajarse	prnl.	Resbalar y caer de bruces.
abarrajo	m.	Caída, traspié, resbalón, tropezón o tropiezo.
abarramiento	m.	Acción o efecto de abarrar.
abarrancamiento	m.	Grieta o incisión profunda que las lluvias o las trombas de agua localizadas producen en la superficie de los suelos, especialmente en los formados por materiales blandos e impermeables. Estos barrancos pueden llegar a alcanzar hasta 50 m. de profundidad.
abarrancar	tr.	Formar barrancos en un terreno por la acción de la erosión o de los elementos.
abarredera	f.	Cada uno de los ganchos usados para retirar de los pozos los cubos.
abarrer	tr.	De barrer, limpiar con escoba u otro objeto parecido todo el polvo o basura.
abarrisco	adv.	Todo reunido en un lote, sin distinguir.
abarrocado	adj.	Que presenta rasgos o características propias del barroco.
abarrotamiento	m.	Acción o efecto de abarrotar o abarrotarse (llenar u ocupar un espacio completamente con personas o cosas).
abarrotar	tr.	Llenar totalmente un lugar o continente con objetos o personas.
abarrote	m.	Acción o efecto de abarrotar o abarrotarse (llenar u ocupar un espacio completamente con personas o cosas).
abarrotera	f.	Tienda, empresa o local que vende abarrotes.^([cita requerida])
abarrotero	m. y f.	Propietario de una tienda de abarrotes o persona que despacha en esta.
abarrotería	f.	Lugar, local o establecimiento donde se venden abarrotes; tienda del abarrotero.
abarrotes	m.	Productos de uso ordinario, principalmente comestibles no perecederos, disponibles a la venta.
abascania	f.	Carencia de envidia.
abascanto	m.	Lo que está al abrigo de la maledicencia o del maleficio.
abasia	f.	Incapacidad para caminar correctamente, sobrevenida por una deficiencia neurológica o muscular o por un síndrome psicosomático.
abasida	adj.	Propio de o relativo a una dinastía árabe que reinó en Bagdad, entre el 762 y el 1258 d.C, cuando Abu-l-Abbás destronó a los califas omeyas de Damasco.
abasin	m.	Planta euforbiácea.
abastar	tr.	Proveer de lo necesario, especialmente en cuanto a la supervivencia (provisiones, víveres, etc.).
abastecedor	adj.	Que abastece.
abastecer	tr.	Brindar a alguien los bastimentos, víveres, provisiones u otras cosas necesarias.
abastecerse	prnl.	Obtener y almacenar los bastimentos, víveres, provisiones o cualquier contingente de cosas necesarias.
abastecimiento	m.	Acción o efecto de abastecer o de abastecerse.
abastero	m.	Abastecedor de carne.
abastionar	tr.	Fortificar con bastiones.
abasto	m.	Provisión de bastimentos, y especialmente la de cualquiera de los artículos necesarios para el sustento de una población.
abasí	adj.	Propio de o relativo a una dinastía árabe que reinó en Bagdad, entre el 762 y el 1258 d.C, cuando Abu-l-Abbás destronó a los califas omeyas de Damasco.
abatanado	m.	Acción y efecto de abatanar o abatanarse.
abatanar	tr.	Golpear, aporrear el trapo en el batán para desengrasarlo y limpiarlo.
abatatamiento	m.	De abatatar, acción y efecto de intimidarse o apocarse.
abatatarse	prnl.	Turbarse, cortarse, tener o sentir vergüenza.
abate	m.	Clérigo por lo común de órdenes menores vestido de hábito clerical a la romana.
abatelenguas	m.	Bajalenguas.
abatible	adj.	Que puede hacerse pasar de una posición vertical a una horizontal girándolo mediante un eje o bisagra. Asiento abatible, mesa abatible.
abatidamente	adv.	Con abatimiento.
abatidero	m.	Canal de drenaje o de desagüe.
abatido	adj.	Sin ánimo ni energía.
abatidor	m.	Congelador que hace descender la temperatura de los alimentos (generalmente calientes) en forma muy abrupta.
abatimiento	m.	Acción o efecto de abatir o de abatirse.
abatir	tr.	Hacer que algo caiga a tierra y quede destruido.
abatirse	prnl.	Caer a tierra o quedar destruido.
abatismo	m.	El poder o la influencia de los abates.
abatixi	m.	Planta acuática del Amazonas.
abatojar	tr.	Separar los granos de las vainas secas golpeando estas.
abaya	f.	Túnica negra con la que las mujeres musulmanas se tapan de cabeza a pies.
abayado	adj.	Similar a la baya.
abazón	m.	Bolsa que ciertos primates y roedores tienen en los carrillos, y en la cual guardan los alimentos antes de masticarlos.
abañador	m. y f.	Persona que selecciona mediante cribado las semillas de la próxima siembra.
abañadura	f.	Acción y efecto de abañar semillas.
abañar	tr.	Remover el grano una vez separado de la paja para seleccionar la simiente, con una criba especial llamada baño o vano.
abba	m.	Padre o autoridad religiosa.
abbevilliense	adj.	Facies del Paleolítico inferior que se caracteriza por objetos de sílex talladas por las dos caras.
abderitano	adj.	Originario, relativo a, o propio de Abdera, hoy Adra, en España.
abdesto	m.	Ablución (lavado) prescrita en el Corán a los mahometanos antes de la oración.
abdicación	f.	Renuncia a un cargo o dignidad, en especial la de un monarca a la corona.
abdicar	tr.	Renunciar al ejercicio de un derecho.
abdicativamente	adv.	Por o con abdicación.
abdicativismo	m.	Manía, empeño en abdicar.
abdicativo	adj.	Relacionado con la abdicación o perteneciente a ella.
abdomen	m.	Sección inferior y frontal del tronco de los vertebrados, por debajo del pecho.
abdominal	adj.	Propio de o relativo al abdomen.
abdominales	m.	Músculos del abdomen.
abdominodiafragmático	adj.	Perteneciente o relativo a los rectos abdominales y al diafragma.
abducción	f.	Silogismo en que la mayor es evidente y la menor probable.
abducir	tr.	Inferir por abducción.
abductor	adj.	Cualquier músculo que conduce una parte del cuerpo o una extremidad hacia fuera del eje del cuerpo.
abeacas	f.	Las orejas del ganado.
abecedariano	adj.	Propio de o relativo a una secta cristiana del siglo XVI que creía, siguiendo a Nicholas Storch, que para salvarse era necesario no saber leer ni escribir.
abecedario	m.	Conjunto de las letras de un idioma, ordenadas según una disposición predefinida.
abecé	m.	Las bases por las que se comienza el estudio de una disciplina o ciencia.
abedular	m.	Bosque compuesto de árboles caducifolios, especialmente, de abedules.
abeja	f.	Persona laboriosa.
abejar	m.	Área donde se encuentran las colmenas (habitación de las abejas).
abejarrón	m.	Juego entre tres sujetos, uno de los cuales, puesto en medio con las manos juntas delante de la boca, hace un ruido semejante al del abejón, y entreteniendo así a los otros dos, procura darles bofetadas y evitar las de ellos.
abejaruco	m.	(Merops apiaster) Ave del orden de las trepadoras, de unos quince centímetros de largo, con el cuello amarillo, el lomo rojo obscuro y las alas azules y verdes. Es perjudicial para los colmenares porque se come las abejas.
abejear	intr.	Estar pronto a reaccionar, estar vigilante y atento.
abejera	f.	Lugar poblado de enjambres o conjunto de colmenas (vivienda para las abejas construida por seres humanos).
abejero	m. y f.	Persona encargada del cuidado de las colmenas.
abejoneo	m.	Acción o efecto de abejonear.
abejorrear	intr.	Producir ruido ciertos insectos como las abejas u otros parecidos, con sonido continuo y ronco.
abejorreo	m.	Sonido continuado y monótono que producen las abejas y otros insectos similares.
abejorro	m.	(Bombus spp.) Insecto himenóptero de dos a tres centímetros de largo, con el cuerpo velludo, generalmente negro con franjas amarillas o blancas, con cuatro alas membranosas. Se alimenta de polen y néctar. Zumba al volar.
abejuno	adj.	Que pertenece o concierne a las abejas.
abejón	m.	Macho de la abeja maestra.
abeldar	tr.	En la era, acción de lanzar la trilla contra el viento mediante el bieldo para separar el grano de la paja y las granzas.
abelia	f.	Plantas de la familia de las caprifoliáceas de hojas caducas y nativas de Asia y México.
abellacado	adj.	Ruín y miserable.^([definición imprecisa])
abellacar	tr.	Volver o convertir en ruin y miserable.
abellacarse	prnl.	Volverse ruin y miserable.
abellota	f.	Bellota (fruto de las encinas).
abellotado	adj.	De figura de bellota.
abelonita	m.	Miembro de una secta de herejes que vivieron en la diócesis de Hipona en tiempo del emperador Arcadio y que, aunque eran casados, rechazaban como ilícito y diabólico el uso del matrimonio, a fin de no propagar el pecado original.
abemoladamente	adv.	De modo suave, grato y dulce.
abemolado	adj.	Reducido a bemol; rebajado en medio tono.
abemolar	tr.	Escribir bemoles en una partitura.
abencerraje	m.	Persona torpe, bruta, obstinada y violenta en sus pasiones.
abendula	f.	Cada una de las piezas en forma de pestaña que componen el rodezno del molino.
abenelecto	m.	Nombre dado al alumbre por los alquimistas.
aberenjenado	adj.	De color o figura de berenjena.
aberración	f.	Comportamiento desviado de lo aceptado como normal.
aberrante	adj.	Que se aleja de lo normal.
aberrar	intr.	Equivocarse, perderse, desviarse.
abertal	adj.	Se dice del campo o finca que no está cerrado con vallas, tapias u otros medios.
abertura	f.	Acción y efecto de abrir o abrise.
abertzale	adj.	Dícese del vasco o euskaldún muy amante de todo lo referente a su región de nacimiento (haciendo énfasis en Euskal Herria); como costumbres, lengua, tradiciones, gastronomía, etc.
aberzale	adj.	Dícese del vasco o euskaldún muy amante de todo lo referente a su región de nacimiento (haciendo énfasis en Euskal Herria); como costumbres, lengua, tradiciones, gastronomía, etc.
abesivo	m.	Caso gramatical que indica la falta o ausencia del sintagma nominal. Equivale a la preposición "sin".
abestiado	adj.	Que tiene algo de bestia. Que ha contraído modales muy groseros o costumbres propias de bestias.
abestializarse	prnl.	Arrocinarse, embrutecerse.
abestionar	tr.	Fortificar con bastiones.
abesón	m.	Eneldo, planta de la familia de las umbelíferas.
abetal	m.	Lugar o terreno donde hay abetos.
abetar	m.	Lugar o sección de un bosque poblado con abetos.
abete	m.	Hierrecillo con un gancho a cada extremidad, que sirve para asegurar en el tablero la parte de paño que se tunde de una vez.
abetinote	m.	Resina líquida que destila el abeto por grietas formadas en su corteza.
abeto	m.	(Abies) Árbol de la familia de las coníferas, que llega hasta 50 m de altura, con tronco alto y derecho, de corteza blanquecina, copa cónica de ramas horizontales, hojas en aguja y persistentes, flores poco visibles y fruto en piñas casi cilindricas y empinadas.
abetuna	f.	Pimpollo del abeto blanco.
abetunado	adj.	Similar al betún en alguna de sus características.
abeurrea	f.	Señal o coto que ponen en Vizcaya en terreno público para adquirir derecho de edificar en él.
abey	m.	(Poeppigia procera) Árbol tropical, de la familia de las fabáceas, nativo de las Antillas, de 4 a 6 metros de altura, con hojas paripinnadas oblongo-lineales, flores amarillas en panículas axilares y fruto en vaina. Se aprovecha su corteza para usos medicinales.
abeyera	f.	Abejera, colmenar.
abia	f.	(Vaccinium corymbosum) Planta del género Vaccinium, que también incluye muchos arbustos silvestres productores de bayas comestibles redondas y con vértices brillantes.
abibollo	m.	Persona que se distrae con facilidad, o tonta.
abicharse	prnl.	Contener o criar gusanos (una fruta, herida, etc.).
abieldar	tr.	En la era, acción de lanzar la trilla contra el viento mediante el bieldo para separar el grano de la paja y las granzas.
abierta	f.	Acción y efecto de abrir.
abiertamente	adv.	Sin reserva, francamente.
abierto	adj.	Que permite el acceso a su interior o el tránsito a su través.
abiertos	m.	Voz anticuada, usada por Alfonso X el Sabio en las Partidas. Significa "examinados".
abietino	adj.	Lo que se refiere al pino.
abietáceo	m.	Árboles gimnospermos de hojas de limbo estrecho, sus flores de muchos carpelos y su fruto en piña. Como el abeto, cedro, etc.
abigarrado	adj.	Que tiene varios colores mal combinados.
abigarramiento	m.	Desorden y confusión provocados por la heterogeneidad de las partes que componen alguna cosa.
abigarrar	tr.	Dar o poner a una cosa varios colores mal combinados.
abigarrarse	prnl.	Amontonarse con falta de orden.
abigeato	m.	Hurto o robo de ganado o bestias.
abigotado	adj.	Que posee bigote, en especial si es frondoso.
abijar	tr.	Incitar a un perro para que ladre o ataque.
abil	adj.	Nombre de una tribu árabe de las llamadas tribus perdidas.
abinar	tr.	Dar la segunda labranza o cavar por segunda vez las tierras.
abintestato	m.	Procedimiento judicial sobre herencia y adjudicación de bienes que se lleva a cabo cuando alguien muere sin testar, el testamento es nulo o los herederos no pueden heredar.
abiogénesis	f.	Nacimiento hipotético de seres vivos de la materia inerte o muerta.
abiogénico	adj.	Que pertenece o concierne a la abiogénesis.
abiológico	adj.	Perteneciente al estudio de los seres inanimados.
abiosis	f.	Suspensión aparente de la vida en seres inferiores mediante la sustracción de agua, oxígeno, etc.
abiotrofia	f.	Degeneración progresiva que afecta la funcionalidad o vitalidad de un organismo, célula o tejido sin haber sufrido ningún daño aparente.
abipón	adj.	Perteneciente a un pueblo indígena sudamericano que habitaba las orillas del Paraná en Argentina. Eran numerosos y valientes y practicaban la caza, la agricultura y la pesca.
abirritado	adj.	Se aplica al órgano o parte del cuerpo en la que se ha disminuído la irritación.
abirritante	adj.	Que mitiga o contrarresta la irritación.
abirritar	tr.	Disminuir la irritación o sensibilidad en una parte del cuerpo. Atenuar la excitación de los fenómenos vitales de un órgano, debida a una cauas irritante.
abisagrar	tr.	Poner bisagras clavándolas en las puertas y sus marcos o en otros sitios.
abisal	adj.	Propio de, relativo a o natural de un abismo.
abisinio	adj.	Persona originaria o habitante de Abisinia.
abismado	adj.	Con gesto o aspecto abstraído, de expresión ensimismada.
abismador	m.	Persona que coloca los huesos del brazo o de la pierna rotos para que se fundan y unan de nuevo, generalmente entablando las extremidades.^([cita requerida])
abismal	adj.	Que pertenece o concierne al abismo.
abismar	tr.	Hundir o sumergir en un abismo.
abismarse	prnl.	Hundirse en un abismo.
abismo	m.	Cualquier profundidad grande, imponente y peligrosa, como la de los mares, la de un tajo, la de una sima, etcétera.
abismático	adj.	Profundo como el abismo, insondable.
abitadura	f.	Acción o efecto de abitar, de atar un cabo a una bita.
abitaque	m.	Cuartón, madero que resulta de aserrar longitudinalmente en cruz una pieza enteriza.
abitar	tr.	Amarrar y asegurar el cabo alrededor de las bitas (postes).
abitón	m.	Madero que se coloca verticalmente en un buque y sirve para amarrar o sujetar alguna cuerda.
abizcochado	adj.	Parecido al bizcocho.
abiótico	adj.	Sustancia orgánica o inorgánica que es importante para la supervivencia del ecosistema.
abjasiano	adj.	Originario, relativo a, o propio de Abjasia.
abjasio	adj.	Originario, relativo a, o propio de Abjasia.
abjaso	adj.	Originario, relativo a, o propio de Abjasia.
abjurable	adj.	Que se puede o debe abjurar.
abjuración	f.	Acción o efecto de abjurar.
abjuramiento	m.	Acción y efecto de abjurar.
abjurar	tr.	Retractarse solemnemente y con juramento del error en que ha incurrido.
ablación	f.	Remoción o extirpación de una parte del cuerpo.
ablactancia	f.	Sustitución de la leche materna por otros alimentos, que ocurre normalmente en los niños a una determinada edad.
abladera	f.	Herramienta que usan los toneleros para practicar la ranura interior de los barriles donde encaja la tapa o fondo de los mismos.
ablandabrevas	adj.	Persona inútil o de poca valía.
ablandador	adj.	Que ablanda.
ablandahígos	adj.	Persona inútil o de poca valía.
ablandamiento	m.	Acción o efecto de ablandar o de ablandarse.
ablandar	tr.	Poner blanda una cosa.
ablandativo	adj.	Que tiene virtud de ablandar.
ablande	m.	Período de tiempo necesario de uso para que un automotor nuevo alcance un ajuste en las piezas del motor adecuado.
ablandecer	tr.	Volver más blando.
ablaqueador	adj.	Que ablaquea, que hace alcorques.
ablativo	adj.	Que pertenece o concierne a la ablación.
ablatorio	adj.	Aplicado a un acto jurídico: Que produce el sacrificio o menoscabo de derechos.
ablecto	m.	Soldado escogido entre las tropas amigas o aliadas, que en las guerras romanas iban siempre junto al cónsul, formando parte de su guardia.
ablefaria	f.	Falta total o parcial de los párpados.
ablegado	m.	Persona enviada por el Papa que tiene como misión entregar el birrete a los nuevos cardenales.
ablentar	tr.	Separar la paja del grano usando el bieldo.
ablucionar	tr.	Llevar a cabo una ablución; purificar con agua parte o el total del cuerpo de alguien.
abluciones	m.	Vino y agua con que se hace la ablución en la misa.
ablución	f.	Acción de lavar; inmersión en agua.
abluente	adj.	Se dice de lo que purifica.
ablusado	adj.	Parte superior del vestido holgado como una blusa.
ablutofobia	f.	Miedo irracional a lavarse o bañarse.
abluído	adj.	Se dice de lo que purifica.
